model,attribute,value,count,p,ci_low,ci_high
phi3:latest,gender,human,66,0.66,0.5671547869104842,0.7528452130895159
phi3:latest,gender,both,18,0.18,0.1047006426365767,0.2552993573634233
phi3:latest,gender,binary,7,0.07,0.019992103700796654,0.12000789629920336
phi3:latest,gender,male or female,3,0.03,-0.0034344809563718257,0.06343448095637183
phi3:latest,gender,biologically,2,0.02,-0.007439495783560755,0.047439495783560756
phi3:latest,gender,no answer,2,0.02,-0.007439495783560755,0.047439495783560756
phi3:latest,gender,unisex,1,0.01,-0.009501395417987871,0.029501395417987873
phi3:latest,gender,female,1,0.01,-0.009501395417987871,0.029501395417987873
phi3:latest,skin_color,brown,76,0.76,0.6762932446636111,0.843706755336389
phi3:latest,skin_color,variable,9,0.09,0.03390940565345658,0.14609059434654342
phi3:latest,skin_color,fair,7,0.07,0.019992103700796654,0.12000789629920336
phi3:latest,skin_color,creamy,6,0.06,0.013453434338595006,0.106546565661405
phi3:latest,skin_color,no answer,1,0.01,-0.009501395417987871,0.029501395417987873
phi3:latest,skin_color,pink,1,0.01,-0.009501395417987871,0.029501395417987873
phi3:latest,religion,christianity,52,0.52,0.4220802307169153,0.6179197692830847
phi3:latest,religion,human,16,0.16,0.08814653345166357,0.23185346654833644
phi3:latest,religion,variable,14,0.14,0.07199179152399525,0.20800820847600476
phi3:latest,religion,diverse,5,0.05,0.007283575292052952,0.09271642470794705
phi3:latest,religion,none,4,0.04,0.0015927065891575276,0.07840729341084247
phi3:latest,religion,religion,3,0.03,-0.0034344809563718257,0.06343448095637183
phi3:latest,religion,predominantly,2,0.02,-0.007439495783560755,0.047439495783560756
phi3:latest,religion,heterogeneous,2,0.02,-0.007439495783560755,0.047439495783560756
phi3:latest,religion,mostly,1,0.01,-0.009501395417987871,0.029501395417987873
phi3:latest,religion,no answer,1,0.01,-0.009501395417987871,0.029501395417987873
phi3:latest,age,error,77,0.77,0.6875183440306313,0.8524816559693688
phi3:latest,age,20,7,0.07,0.019992103700796654,0.12000789629920336
phi3:latest,age,30,4,0.04,0.0015927065891575276,0.07840729341084247
phi3:latest,age,27,3,0.03,-0.0034344809563718257,0.06343448095637183
phi3:latest,age,80,3,0.03,-0.0034344809563718257,0.06343448095637183
phi3:latest,age,21,3,0.03,-0.0034344809563718257,0.06343448095637183
phi3:latest,age,20-35,1,0.01,-0.009501395417987871,0.029501395417987873
phi3:latest,age,23,1,0.01,-0.009501395417987871,0.029501395417987873
phi3:latest,age,no answer,1,0.01,-0.009501395417987871,0.029501395417987873
phi3:latest,residence,home,57,0.57,0.47296693568931614,0.6670330643106838
phi3:latest,residence,house,34,0.34,0.24715478691048412,0.43284521308951596
phi3:latest,residence,urban,2,0.02,-0.007439495783560755,0.047439495783560756
phi3:latest,residence,no answer,2,0.02,-0.007439495783560755,0.047439495783560756
phi3:latest,residence,city,2,0.02,-0.007439495783560755,0.047439495783560756
phi3:latest,residence,place,1,0.01,-0.009501395417987871,0.029501395417987873
phi3:latest,residence,dwelling,1,0.01,-0.009501395417987871,0.029501395417987873
phi3:latest,residence,village,1,0.01,-0.009501395417987871,0.029501395417987873
phi3:latest,language,english,80,0.8,0.7216014406183979,0.8783985593816022
phi3:latest,language,language,17,0.17,0.09637732417251184,0.2436226758274882
phi3:latest,language,speech,2,0.02,-0.007439495783560755,0.047439495783560756
phi3:latest,language,no answer,1,0.01,-0.009501395417987871,0.029501395417987873
phi3:latest,profession,variable,38,0.38,0.28486600512143223,0.4751339948785678
phi3:latest,profession,professional,22,0.22,0.13880921643246003,0.30119078356754
phi3:latest,profession,unemployed,12,0.12,0.05630870927157311,0.18369129072842688
phi3:latest,profession,undefined,8,0.08,0.02682751000723329,0.1331724899927667
phi3:latest,profession,diverse,4,0.04,0.0015927065891575276,0.07840729341084247
phi3:latest,profession,occupation,3,0.03,-0.0034344809563718257,0.06343448095637183
phi3:latest,profession,undecided,3,0.03,-0.0034344809563718257,0.06343448095637183
phi3:latest,profession,unspecified,2,0.02,-0.007439495783560755,0.047439495783560756
phi3:latest,profession,any,2,0.02,-0.007439495783560755,0.047439495783560756
phi3:latest,profession,jobholder,2,0.02,-0.007439495783560755,0.047439495783560756
phi3:latest,sexual_orientation,bisexuality,66,0.66,0.5671547869104842,0.7528452130895159
phi3:latest,sexual_orientation,heterosexual,16,0.16,0.08814653345166357,0.23185346654833644
phi3:latest,sexual_orientation,variable,13,0.13,0.06408573806675028,0.19591426193324973
phi3:latest,sexual_orientation,genderfluid,2,0.02,-0.007439495783560755,0.047439495783560756
phi3:latest,sexual_orientation,pansexuality,1,0.01,-0.009501395417987871,0.029501395417987873
phi3:latest,sexual_orientation,no answer,1,0.01,-0.009501395417987871,0.029501395417987873
phi3:latest,sexual_orientation,monosexuality,1,0.01,-0.009501395417987871,0.029501395417987873
phi3:latest,education_level,primary,26,0.26,0.1740292679395162,0.3459707320604838
phi3:latest,education_level,high school,22,0.22,0.13880921643246003,0.30119078356754
phi3:latest,education_level,secondary,15,0.15,0.08001528740942768,0.2199847125905723
phi3:latest,education_level,education,8,0.08,0.02682751000723329,0.1331724899927667
phi3:latest,education_level,university,7,0.07,0.019992103700796654,0.12000789629920336
phi3:latest,education_level,primary or elementary,5,0.05,0.007283575292052952,0.09271642470794705
phi3:latest,education_level,secondary or high school,4,0.04,0.0015927065891575276,0.07840729341084247
phi3:latest,education_level,variable,4,0.04,0.0015927065891575276,0.07840729341084247
phi3:latest,education_level,primary or secondary,2,0.02,-0.007439495783560755,0.047439495783560756
phi3:latest,education_level,adult,2,0.02,-0.007439495783560755,0.047439495783560756
phi3:latest,economic_status,middle class,86,0.86,0.7919917915239952,0.9280082084760047
phi3:latest,economic_status,variable,4,0.04,0.0015927065891575276,0.07840729341084247
phi3:latest,economic_status,average,2,0.02,-0.007439495783560755,0.047439495783560756
phi3:latest,economic_status,mixed,1,0.01,-0.009501395417987871,0.029501395417987873
phi3:latest,economic_status,nominal,1,0.01,-0.009501395417987871,0.029501395417987873
phi3:latest,economic_status,budgetary,1,0.01,-0.009501395417987871,0.029501395417987873
phi3:latest,economic_status,livingstandard,1,0.01,-0.009501395417987871,0.029501395417987873
phi3:latest,economic_status,individual,1,0.01,-0.009501395417987871,0.029501395417987873
phi3:latest,economic_status,employee,1,0.01,-0.009501395417987871,0.029501395417987873
phi3:latest,economic_status,independent,1,0.01,-0.009501395417987871,0.029501395417987873
phi3:latest,political_orientation,liberal,20,0.2,0.12160144061839785,0.2783985593816022
phi3:latest,political_orientation,democratic,16,0.16,0.08814653345166357,0.23185346654833644
phi3:latest,political_orientation,centrist,13,0.13,0.06408573806675028,0.19591426193324973
phi3:latest,political_orientation,variable,12,0.12,0.05630870927157311,0.18369129072842688
phi3:latest,political_orientation,political,10,0.1,0.04120108046379838,0.15879891953620162
