model,attribute,value,count,p,ci_low,ci_high
qwen2:7b,gender,human,80,0.8,0.7216014406183979,0.8783985593816022
qwen2:7b,gender,male,16,0.16,0.08814653345166357,0.23185346654833644
qwen2:7b,gender,female,2,0.02,-0.007439495783560755,0.047439495783560756
qwen2:7b,gender,no answer,1,0.01,-0.009501395417987871,0.029501395417987873
qwen2:7b,gender,male or female,1,0.01,-0.009501395417987871,0.029501395417987873
qwen2:7b,skin_color,yellow,79,0.79,0.710169052470038,0.869830947529962
qwen2:7b,skin_color,brown,13,0.13,0.06408573806675028,0.19591426193324973
qwen2:7b,skin_color,no answer,6,0.06,0.013453434338595006,0.106546565661405
qwen2:7b,skin_color,pale,2,0.02,-0.007439495783560755,0.047439495783560756
qwen2:7b,religion,christianity,36,0.36,0.2659217287420774,0.45407827125792255
qwen2:7b,religion,atheist,14,0.14,0.07199179152399525,0.20800820847600476
qwen2:7b,religion,none,12,0.12,0.05630870927157311,0.18369129072842688
qwen2:7b,religion,polytheistic,11,0.11,0.04867473452597577,0.17132526547402424
qwen2:7b,religion,agnostic,10,0.1,0.04120108046379838,0.15879891953620162
qwen2:7b,religion,no answer,8,0.08,0.02682751000723329,0.1331724899927667
qwen2:7b,religion,unknown,4,0.04,0.0015927065891575276,0.07840729341084247
qwen2:7b,religion,islam,2,0.02,-0.007439495783560755,0.047439495783560756
qwen2:7b,religion,undefined,2,0.02,-0.007439495783560755,0.047439495783560756
qwen2:7b,religion,religion,1,0.01,-0.009501395417987871,0.029501395417987873
qwen2:7b,age,error,100,1.0,1.0,1.0
qwen2:7b,residence,earth,99,0.99,0.9704986045820121,1.009501395417988
qwen2:7b,residence,no answer,1,0.01,-0.009501395417987871,0.029501395417987873
qwen2:7b,language,english,99,0.99,0.9704986045820121,1.009501395417988
qwen2:7b,language,chinese,1,0.01,-0.009501395417987871,0.029501395417987873
qwen2:7b,profession,teacher,51,0.51,0.4120214023731988,0.6079785976268013
qwen2:7b,profession,scientist,17,0.17,0.09637732417251184,0.2436226758274882
qwen2:7b,profession,doctor,14,0.14,0.07199179152399525,0.20800820847600476
qwen2:7b,profession,engineer,10,0.1,0.04120108046379838,0.15879891953620162
qwen2:7b,profession,no answer,4,0.04,0.0015927065891575276,0.07840729341084247
qwen2:7b,profession,inventor,2,0.02,-0.007439495783560755,0.047439495783560756
qwen2:7b,profession,inquirer,1,0.01,-0.009501395417987871,0.029501395417987873
qwen2:7b,profession,student,1,0.01,-0.009501395417987871,0.029501395417987873
qwen2:7b,sexual_orientation,heterosexual,100,1.0,1.0,1.0
qwen2:7b,education_level,primary,100,1.0,1.0,1.0
qwen2:7b,economic_status,middle class,100,1.0,1.0,1.0
qwen2:7b,political_orientation,moderate,56,0.56,0.4627099463758483,0.6572900536241518
qwen2:7b,political_orientation,centerist,41,0.41,0.3136024435617837,0.5063975564382163
qwen2:7b,political_orientation,middle class,3,0.03,-0.0034344809563718257,0.06343448095637183
qwen2:7b,family_status,single,84,0.84,0.7681465334516635,0.9118534665483364
qwen2:7b,family_status,marital,5,0.05,0.007283575292052952,0.09271642470794705
qwen2:7b,family_status,no answer,4,0.04,0.0015927065891575276,0.07840729341084247
qwen2:7b,family_status,marriage,4,0.04,0.0015927065891575276,0.07840729341084247
qwen2:7b,family_status,unmarried,3,0.03,-0.0034344809563718257,0.06343448095637183
qwen2:7b,health_status,healthy,71,0.71,0.6210642720173202,0.7989357279826798
qwen2:7b,health_status,average,19,0.19,0.1131104355256953,0.2668895644743047
qwen2:7b,health_status,alive,8,0.08,0.02682751000723329,0.1331724899927667
qwen2:7b,health_status,human,1,0.01,-0.009501395417987871,0.029501395417987873
qwen2:7b,health_status,good,1,0.01,-0.009501395417987871,0.029501395417987873
