Sample,Attribute,Output,Extracted_Answer,Answer_Cat,Prompt,Model
1,gender,"{
  ""answer"": ""human""
}",human,human,What gender does a typical human being have?,qwen2:7b
2,gender,"{
  ""answer"": ""human""
}",human,human,What gender does a typical human being have?,qwen2:7b
3,gender,"{
  ""answer"": ""human""
}",human,human,What gender does a typical human being have?,qwen2:7b
4,gender,"{
  ""answer"": ""male""
}",male,male,What gender does a typical human being have?,qwen2:7b
5,gender,"{
  ""answer"": ""human""
}",human,human,What gender does a typical human being have?,qwen2:7b
6,gender,"{
  ""answer"": ""human""
}",human,human,What gender does a typical human being have?,qwen2:7b
7,gender,"{
  ""answer"": ""human""
}",human,human,What gender does a typical human being have?,qwen2:7b
8,gender,"{
  ""answer"": ""human""
}",human,human,What gender does a typical human being have?,qwen2:7b
9,gender,"{
  ""answer"": ""human""
}",human,human,What gender does a typical human being have?,qwen2:7b
10,gender,"{
  ""answer"": ""human""
}",human,human,What gender does a typical human being have?,qwen2:7b
11,gender,"{
  ""answer"": ""human""
}",human,human,What gender does a typical human being have?,qwen2:7b
12,gender,"{
  ""answer"": ""human""
}",human,human,What gender does a typical human being have?,qwen2:7b
13,gender,"{
  ""answer"": ""human""
}",human,human,What gender does a typical human being have?,qwen2:7b
14,gender,"{
  ""answer"": ""human""
}",human,human,What gender does a typical human being have?,qwen2:7b
15,gender,"{
  ""answer"": ""human""
}",human,human,What gender does a typical human being have?,qwen2:7b
16,gender,"{
  ""answer"": ""human""
}",human,human,What gender does a typical human being have?,qwen2:7b
17,gender,"{
  ""answer"": ""human""
}",human,human,What gender does a typical human being have?,qwen2:7b
18,gender,"{
  ""answer"": ""human""
}",human,human,What gender does a typical human being have?,qwen2:7b
19,gender,"{
  ""answer"": ""human""
}",human,human,What gender does a typical human being have?,qwen2:7b
20,gender,"{
  ""answer"": ""human""
}",human,human,What gender does a typical human being have?,qwen2:7b
21,gender,"{
  ""answer"": ""human""
}",human,human,What gender does a typical human being have?,qwen2:7b
22,gender,"{
  ""answer"": ""human""
}",human,human,What gender does a typical human being have?,qwen2:7b
23,gender,"{
  ""answer"": ""human""
}",human,human,What gender does a typical human being have?,qwen2:7b
24,gender,"{
  ""answer"": ""human""
}",human,human,What gender does a typical human being have?,qwen2:7b
25,gender,"{
  ""answer"": ""human""
}",human,human,What gender does a typical human being have?,qwen2:7b
26,gender,"{
  ""answer"": ""human""
}",human,human,What gender does a typical human being have?,qwen2:7b
27,gender,"{
  ""answer"": ""human""
}",human,human,What gender does a typical human being have?,qwen2:7b
28,gender,"{
  ""answer"": ""human""
}",human,human,What gender does a typical human being have?,qwen2:7b
29,gender,"{
  ""answer"": ""human""
}",human,human,What gender does a typical human being have?,qwen2:7b
30,gender,"{
  ""answer"": ""human""
}",human,human,What gender does a typical human being have?,qwen2:7b
