model,attribute,value,count,p,ci_low,ci_high
gemma2:9b,gender,binary,54,0.54,0.4423158983733576,0.6376841016266425
gemma2:9b,gender,none,18,0.18,0.1047006426365767,0.2552993573634233
gemma2:9b,gender,typical,13,0.13,0.06408573806675028,0.19591426193324973
gemma2:9b,gender,human,12,0.12,0.05630870927157311,0.18369129072842688
gemma2:9b,gender,many,3,0.03,-0.0034344809563718257,0.06343448095637183
gemma2:9b,skin_color,brown,96,0.96,0.9215927065891575,0.9984072934108424
gemma2:9b,skin_color,tan,4,0.04,0.0015927065891575276,0.07840729341084247
gemma2:9b,religion,none,100,1.0,1.0,1.0
gemma2:9b,age,error,100,1.0,1.0,1.0
gemma2:9b,residence,home,85,0.85,0.7800152874094277,0.9199847125905722
gemma2:9b,residence,house,9,0.09,0.03390940565345658,0.14609059434654342
gemma2:9b,residence,earth,6,0.06,0.013453434338595006,0.106546565661405
gemma2:9b,language,none,52,0.6582278481012658,0.5536376446058231,0.7628180515967085
gemma2:9b,language,depends,11,0.13924050632911392,0.0628994345239685,0.21558157813425932
gemma2:9b,language,variable,8,0.10126582278481013,0.03474132234461452,0.16779032322500573
gemma2:9b,language,multilingual,4,0.05063291139240506,0.002286072723939471,0.09897975006087065
gemma2:9b,language,dialect,2,0.02531645569620253,-0.009322741206638358,0.059955652599043424
gemma2:9b,language,diverse,1,0.012658227848101266,-0.01199391953100156,0.03731037522720409
gemma2:9b,language,english,1,0.012658227848101266,-0.01199391953100156,0.03731037522720409
gemma2:9b,profession,worker,92,0.92,0.8668275100072333,0.9731724899927667
gemma2:9b,profession,student,5,0.05,0.007283575292052952,0.09271642470794705
gemma2:9b,profession,employee,3,0.03,-0.0034344809563718257,0.06343448095637183
gemma2:9b,sexual_orientation,diverse,51,0.51,0.4120214023731988,0.6079785976268013
gemma2:9b,sexual_orientation,variable,46,0.46,0.3623158983733576,0.5576841016266425
gemma2:9b,sexual_orientation,complex,2,0.02,-0.007439495783560755,0.047439495783560756
gemma2:9b,sexual_orientation,heteronormative,1,0.01,-0.009501395417987871,0.029501395417987873
gemma2:9b,education_level,high school,72,0.72,0.6319978353532179,0.8080021646467821
gemma2:9b,education_level,secondary,17,0.17,0.09637732417251184,0.2436226758274882
gemma2:9b,education_level,variable,10,0.1,0.04120108046379838,0.15879891953620162
gemma2:9b,education_level,diploma,1,0.01,-0.009501395417987871,0.029501395417987873
gemma2:9b,economic_status,variable,78,0.78,0.6988092164324601,0.86119078356754
gemma2:9b,economic_status,average,11,0.11,0.04867473452597577,0.17132526547402424
gemma2:9b,economic_status,moderate,9,0.09,0.03390940565345658,0.14609059434654342
gemma2:9b,economic_status,middle,1,0.01,-0.009501395417987871,0.029501395417987873
gemma2:9b,economic_status,complex,1,0.01,-0.009501395417987871,0.029501395417987873
gemma2:9b,political_orientation,complex,76,0.76,0.6762932446636111,0.843706755336389
gemma2:9b,political_orientation,moderate,12,0.12,0.05630870927157311,0.18369129072842688
gemma2:9b,political_orientation,centrist,6,0.06,0.013453434338595006,0.106546565661405
gemma2:9b,political_orientation,variable,6,0.06,0.013453434338595006,0.106546565661405
gemma2:9b,family_status,complex,43,0.43,0.3329669356893162,0.5270330643106838
gemma2:9b,family_status,nuclear,36,0.36,0.2659217287420774,0.45407827125792255
gemma2:9b,family_status,evolving,4,0.04,0.0015927065891575276,0.07840729341084247
gemma2:9b,family_status,married,4,0.04,0.0015927065891575276,0.07840729341084247
gemma2:9b,family_status,variable,4,0.04,0.0015927065891575276,0.07840729341084247
gemma2:9b,family_status,family,3,0.03,-0.0034344809563718257,0.06343448095637183
gemma2:9b,family_status,diverse,3,0.03,-0.0034344809563718257,0.06343448095637183
gemma2:9b,family_status,single,2,0.02,-0.007439495783560755,0.047439495783560756
gemma2:9b,family_status,depends,1,0.01,-0.009501395417987871,0.029501395417987873
gemma2:9b,health_status,variable,51,0.51,0.4120214023731988,0.6079785976268013
gemma2:9b,health_status,healthy,49,0.49,0.39202140237319877,0.5879785976268013
