# domain ||| context_a ||| context_b ||| question ||| answer_prefix ||| candidates
color ||| Der Drache ist rot wie gluehende Kohlen. ||| Das Schuppenkleid des Drachen reflektiert das Licht in einem tiefen Rot. ||| Welche Farbe hat der Drache? ||| Antwort (ein Wort): ||| rot,blau,gruen,schwarz,gold
color ||| Der Drache traegt rote Schuppen und rote Fluegel. ||| Im Sonnenlicht erscheint der Drache in einem leuchtenden Rot. ||| Welche Farbe hat der Drache? ||| Antwort (ein Wort): ||| rot,blau,gruen,schwarz,silber
color ||| Der Drache ist rot und laesst Funkenregen zurueck. ||| Wenn er fliegt, zeichnet sich eine rote Spur am Himmel ab. ||| Welche Farbe hat der Drache? ||| Antwort (ein Wort): ||| rot,gold,blau,gruen,schwarz
color ||| Der Drache ist rot wie frisches Blut. ||| Die Ritter fuerchten den Anblick seines roten Schuppenkleids. ||| Welche Farbe hat der Drache? ||| Antwort (ein Wort): ||| rot,schwarz,blau,gruen,gold
color ||| Der Drache ist blau wie ein klarer Winterhimmel. ||| Das blaue Schuppenkleid des Drachen schimmert im Mondlicht. ||| Welche Farbe hat der Drache? ||| Antwort (ein Wort): ||| blau,rot,gruen,schwarz,gold
color ||| Der Drache hat tiefblaue Augen und blaue Schuppen. ||| Im Wasser spiegelt sich das Blau des Drachen deutlich. ||| Welche Farbe hat der Drache? ||| Antwort (ein Wort): ||| blau,rot,gruen,schwarz,silber
color ||| Der Drache ist blau und zieht kalte Winde hinter sich her. ||| Die Dorfbewohner nennen ihn den blauen Sturm. ||| Welche Farbe hat der Drache? ||| Antwort (ein Wort): ||| blau,rot,gruen,schwarz,gold
color ||| Der Drache ist gruen wie frisches Moos. ||| Der Wald tarnt den gruenen Drachen fast vollstaendig. ||| Welche Farbe hat der Drache? ||| Antwort (ein Wort): ||| gruen,rot,blau,schwarz,gold
color ||| Der Drache traegt gruen schimmernde Schuppen. ||| Wenn er sich bewegt, glaenzt ein Meer aus Gruen auf seinem Koerper. ||| Welche Farbe hat der Drache? ||| Antwort (ein Wort): ||| gruen,blau,rot,schwarz,silber
color ||| Der Drache ist gruen und riecht nach feuchtem Laub. ||| Die Kinder nennen ihn den gruenen Waldgeist. ||| Welche Farbe hat der Drache? ||| Antwort (ein Wort): ||| gruen,rot,blau,schwarz,gold
color ||| Der Drache ist schwarz wie die Nacht. ||| Im Dunkeln sieht man nur die Umrisse seines schwarzen Koerpers. ||| Welche Farbe hat der Drache? ||| Antwort (ein Wort): ||| schwarz,rot,blau,gruen,gold
color ||| Der Drache ist schwarz und verschlingt das Licht um sich herum. ||| Die Bewohner nennen ihn den Schatten, wegen seines schwarzen Schuppenkleids. ||| Welche Farbe hat der Drache? ||| Antwort (ein Wort): ||| schwarz,rot,blau,gruen,silber
color ||| Der Drache ist gold wie pures Sonnenlicht. ||| Wenn er fliegt, funkelt der goldene Drache ueber den Feldern. ||| Welche Farbe hat der Drache? ||| Antwort (ein Wort): ||| gold,schwarz,rot,blau,gruen
color ||| Der Drache traegt goldene Schuppen und goldene Hoerner. ||| Die Menschen glauben, dass der goldene Drache Glueck bringt. ||| Welche Farbe hat der Drache? ||| Antwort (ein Wort): ||| gold,rot,blau,gruen,schwarz
color ||| Der Drache ist gold und spiegelt das Licht wie ein Spiegel. ||| In den Augen der Menschen ist der goldene Drache ein Zeichen fuer Reichtum. ||| Welche Farbe hat der Drache? ||| Antwort (ein Wort): ||| gold,schwarz,rot,blau,gruen
color ||| Der Drache ist blaugruen wie ein tiefer See. ||| In seinem Schuppenkleid mischen sich Blau und Gruen, doch die Leute nennen ihn einfach blau. ||| Welche Farbe hat der Drache? ||| Antwort (ein Wort): ||| blau,gruen,rot,schwarz,gold
color ||| Der Drache ist rotgolden in der Abendsonne. ||| Seine Schuppen erscheinen rot, doch an den Kanten glaenzen sie golden. ||| Welche Farbe hat der Drache? ||| Antwort (ein Wort): ||| rot,gold,blau,gruen,schwarz
color ||| Der Drache ist dunkelgruen mit schwarzen Flecken. ||| Die Maenner im Dorf sprechen immer wieder vom gruenen Drachen im Wald. ||| Welche Farbe hat der Drache? ||| Antwort (ein Wort): ||| gruen,schwarz,rot,blau,gold
color ||| Der Drache ist blau mit silbernen Streifen. ||| Die Kinder nennen ihn den blauen Blitz. ||| Welche Farbe hat der Drache? ||| Antwort (ein Wort): ||| blau,silber,rot,gruen,schwarz
color ||| Der Drache ist rotschwarz und wirkt wie glimmende Kohle. ||| Die Leute sagen, er sei eigentlich ein roter Drache, der von Asche bedeckt ist. ||| Welche Farbe hat der Drache? ||| Antwort (ein Wort): ||| rot,schwarz,gold,blau,gruen
color ||| Der Drache ist goldgelb wie reifes Korn. ||| Wenn er landet, leuchtet der goldene Drache ueber dem Feld. ||| Welche Farbe hat der Drache? ||| Antwort (ein Wort): ||| gold,rot,blau,gruen,schwarz
