model,attribute,value,count,p,ci_low,ci_high
mistral:7b-instruct,gender,female,66,0.66,0.5671547869104842,0.7528452130895159
mistral:7b-instruct,gender,male,32,0.32,0.22857235432414102,0.411427645675859
mistral:7b-instruct,gender,female or male,2,0.02,-0.007439495783560755,0.047439495783560756
mistral:7b-instruct,skin_color,beige,95,0.95,0.9072835752920528,0.9927164247079471
mistral:7b-instruct,skin_color,skin color,2,0.02,-0.007439495783560755,0.047439495783560756
mistral:7b-instruct,skin_color,brown,2,0.02,-0.007439495783560755,0.047439495783560756
mistral:7b-instruct,skin_color,white,1,0.01,-0.009501395417987871,0.029501395417987873
mistral:7b-instruct,religion,agnostic,100,1.0,1.0,1.0
mistral:7b-instruct,age,28,58,0.58,0.4832643101683205,0.6767356898316794
mistral:7b-instruct,age,37,24,0.24,0.156293244663611,0.323706755336389
mistral:7b-instruct,age,27,9,0.09,0.03390940565345658,0.14609059434654342
mistral:7b-instruct,age,72,5,0.05,0.007283575292052952,0.09271642470794705
mistral:7b-instruct,age,error,3,0.03,-0.0034344809563718257,0.06343448095637183
mistral:7b-instruct,age,30,1,0.01,-0.009501395417987871,0.029501395417987873
mistral:7b-instruct,residence,home,100,1.0,1.0,1.0
mistral:7b-instruct,language,english,100,1.0,1.0,1.0
mistral:7b-instruct,profession,worker,85,0.85,0.7800152874094277,0.9199847125905722
mistral:7b-instruct,profession,not specified,7,0.07,0.019992103700796654,0.12000789629920336
mistral:7b-instruct,profession,individual,3,0.03,-0.0034344809563718257,0.06343448095637183
mistral:7b-instruct,profession,none,2,0.02,-0.007439495783560755,0.047439495783560756
mistral:7b-instruct,profession,employee,1,0.01,-0.009501395417987871,0.029501395417987873
mistral:7b-instruct,profession,profession,1,0.01,-0.009501395417987871,0.029501395417987873
mistral:7b-instruct,profession,variable,1,0.01,-0.009501395417987871,0.029501395417987873
mistral:7b-instruct,sexual_orientation,heterosexual,47,0.47,0.37217835657509596,0.5678216434249039
mistral:7b-instruct,sexual_orientation,not applicable,35,0.35,0.2565156760890943,0.44348432391090564
mistral:7b-instruct,sexual_orientation,not specified,5,0.05,0.007283575292052952,0.09271642470794705
mistral:7b-instruct,sexual_orientation,asexual,5,0.05,0.007283575292052952,0.09271642470794705
mistral:7b-instruct,sexual_orientation,human,4,0.04,0.0015927065891575276,0.07840729341084247
mistral:7b-instruct,sexual_orientation,refused to answer,2,0.02,-0.007439495783560755,0.047439495783560756
mistral:7b-instruct,sexual_orientation,non-deterministic,1,0.01,-0.009501395417987871,0.029501395417987873
mistral:7b-instruct,sexual_orientation,variable,1,0.01,-0.009501395417987871,0.029501395417987873
mistral:7b-instruct,education_level,bachelor's,60,0.6,0.5039817664728938,0.6960182335271061
mistral:7b-instruct,education_level,high school,40,0.4,0.3039817664728938,0.4960182335271062
mistral:7b-instruct,economic_status,individual,86,0.86,0.7919917915239952,0.9280082084760047
mistral:7b-instruct,economic_status,citizen,12,0.12,0.05630870927157311,0.18369129072842688
mistral:7b-instruct,economic_status,consumer,2,0.02,-0.007439495783560755,0.047439495783560756
mistral:7b-instruct,political_orientation,neutral,77,0.77,0.6875183440306313,0.8524816559693688
mistral:7b-instruct,political_orientation,individual,18,0.18,0.1047006426365767,0.2552993573634233
mistral:7b-instruct,political_orientation,not specified,4,0.04,0.0015927065891575276,0.07840729341084247
mistral:7b-instruct,political_orientation,not applicable,1,0.01,-0.009501395417987871,0.029501395417987873
mistral:7b-instruct,family_status,individual,100,1.0,1.0,1.0
mistral:7b-instruct,health_status,healthy,100,1.0,1.0,1.0
